movieId,code
1.0,1
1.0,2
1.0,3
1.0,4
1.0,5
2.0,1
2.0,3
2.0,5
3.0,4
3.0,6
4.0,4
4.0,7
4.0,6
5.0,4
6.0,8
6.0,9
6.0,10
7.0,4
7.0,6
8.0,1
8.0,3
9.0,8
10.0,8
10.0,1
10.0,10
11.0,4
11.0,7
11.0,6
12.0,4
12.0,11
13.0,1
13.0,2
13.0,3
14.0,7
15.0,8
15.0,1
15.0,6
16.0,9
16.0,7
17.0,7
17.0,6
18.0,4
19.0,4
20.0,8
20.0,4
20.0,9
20.0,7
20.0,10
21.0,4
21.0,9
21.0,10
22.0,9
22.0,7
22.0,11
22.0,12
22.0,10
23.0,8
23.0,9
23.0,10
24.0,7
24.0,13
25.0,7
25.0,6
26.0,7
27.0,3
27.0,7
28.0,7
28.0,6
29.0,1
29.0,7
29.0,5
29.0,12
29.0,13
30.0,9
30.0,7
31.0,7
32.0,12
32.0,13
32.0,10
34.0,3
34.0,7
36.0,9
36.0,7
38.0,3
38.0,4
39.0,4
39.0,6
40.0,7
41.0,7
41.0,14
42.0,8
42.0,9
42.0,7
43.0,7
44.0,8
44.0,1
44.0,5
45.0,4
45.0,7
45.0,10
46.0,7
46.0,6
47.0,12
47.0,10
48.0,2
48.0,3
48.0,7
48.0,15
48.0,6
49.0,7
49.0,6
50.0,9
50.0,12
50.0,10
52.0,4
52.0,7
52.0,6
53.0,1
53.0,7
54.0,3
54.0,4
55.0,7
57.0,7
58.0,4
58.0,7
58.0,6
60.0,1
60.0,3
60.0,5
61.0,7
61.0,10
62.0,7
63.0,4
63.0,9
64.0,4
64.0,6
65.0,4
66.0,8
66.0,13
66.0,10
68.0,4
68.0,6
69.0,4
70.0,8
70.0,4
70.0,11
70.0,10
71.0,8
72.0,4
72.0,7
73.0,7
73.0,14
74.0,7
74.0,6
75.0,4
75.0,7
76.0,8
76.0,13
76.0,10
77.0,16
78.0,8
78.0,9
78.0,7
78.0,10
79.0,7
79.0,10
80.0,3
80.0,7
81.0,9
81.0,7
81.0,6
82.0,4
82.0,7
83.0,7
83.0,6
85.0,7
85.0,6
86.0,8
86.0,1
86.0,7
87.0,3
87.0,4
88.0,4
89.0,8
89.0,10
92.0,7
92.0,11
92.0,10
93.0,4
93.0,11
93.0,6
94.0,4
94.0,7
94.0,6
95.0,8
95.0,1
95.0,10
96.0,4
96.0,7
97.0,9
97.0,7
99.0,16
100.0,7
100.0,10
101.0,1
101.0,4
101.0,9
101.0,6
102.0,4
103.0,12
103.0,13
103.0,10
104.0,4
105.0,7
105.0,6
106.0,4
106.0,7
107.0,1
107.0,3
107.0,4
107.0,15
108.0,16
110.0,8
110.0,7
110.0,14
111.0,9
111.0,7
111.0,10
112.0,8
112.0,1
112.0,4
112.0,9
113.0,7
113.0,12
116.0,16
117.0,9
117.0,7
118.0,4
118.0,6
119.0,4
121.0,7
122.0,4
122.0,6
123.0,7
123.0,12
123.0,6
125.0,4
126.0,1
126.0,3
126.0,5
128.0,16
129.0,4
129.0,6
132.0,10
135.0,4
137.0,16
140.0,7
140.0,6
141.0,4
144.0,4
145.0,8
145.0,4
145.0,9
145.0,7
145.0,10
146.0,1
146.0,3
147.0,7
148.0,7
149.0,9
149.0,7
149.0,10
150.0,1
150.0,7
150.0,17
151.0,8
151.0,7
151.0,6
151.0,14
152.0,7
152.0,11
153.0,8
153.0,1
153.0,4
153.0,9
154.0,7
155.0,1
155.0,7
155.0,14
156.0,4
156.0,7
157.0,4
157.0,14
158.0,1
158.0,3
159.0,9
159.0,7
159.0,12
160.0,8
160.0,1
160.0,12
160.0,13
161.0,7
161.0,10
161.0,14
162.0,16
163.0,8
163.0,6
163.0,18
164.0,9
164.0,19
164.0,12
164.0,10
165.0,8
165.0,9
165.0,10
166.0,4
166.0,9
166.0,7
168.0,8
168.0,7
168.0,6
169.0,1
169.0,3
169.0,7
170.0,8
170.0,1
170.0,9
170.0,10
171.0,4
171.0,7
172.0,8
172.0,13
172.0,10
173.0,8
173.0,9
173.0,13
174.0,4
175.0,7
176.0,4
177.0,11
178.0,4
178.0,7
179.0,7
179.0,6
180.0,4
180.0,6
181.0,8
181.0,3
183.0,4
183.0,11
183.0,10
184.0,7
185.0,8
185.0,9
185.0,10
186.0,4
186.0,6
187.0,4
188.0,5
188.0,11
188.0,12
189.0,4
189.0,5
190.0,10
191.0,7
191.0,6
193.0,7
194.0,4
194.0,7
195.0,4
195.0,7
195.0,6
196.0,11
196.0,13
198.0,8
198.0,9
198.0,7
198.0,12
198.0,13
198.0,10
199.0,7
199.0,15
