movieId,keywords
1,martial arts
1, jealousy
1, toy
1, boy
1, friendship
1, bullying
1, elementary school
1, friends
1, rivalry
1, rescue
1, mission
1, walkie talkie
1, boy next door
1, new toy
1, neighborhood
1, toy comes to life
1, resourcefulness
2,giant insect
2, board game
2, jungle
2, disappearance
2, recluse
2, stampede
2, based on young adult novel
3,fishing
3, old man
3, best friend
3, duringcreditsstinger
4,based on novel or book
4, interracial relationship
4, single mother
4, divorce
4, chick flick
5,parent child relationship
5, baby
5, midlife crisis
5, confidence
5, pregnancy
5, aging
5, daughter
5, contraception
5, gynecologist
6,robbery
6, detective
6, obsession
6, chase
6, thief
6, honor
6, murder
6, heist
6, betrayal
6, gang
6, los angeles
6, cat and mouse
6, criminal mastermind
6, cult film
6, ex-con
6, one last job
6, loner
6, bank job
6, neo-noir
6, crime epic
7,paris france
7, sibling relationship
7, chauffeur
7, long island
7, fusion
7, millionaire
9,terrorist
9, hostage
9, explosive
9, vice president
10,cuba
10, falsely accused
10, secret identity
10, computer virus
10, secret base
10, secret intelligence service
10, kgb
10, satellite
10, special car
10, cossack
10, electromagnetic pulse
10, time bomb
10, st. petersburg russia
10, red army
11,the white house
11, usa president
11, new love
11, widower
11, wildlife conservation
12,dracula
12, spoof
13,wolf
13, pet
13, dog-sledding race
13, alaska
13, dog
13, goose
13, bear attack
13, dog sled
14,washington d.c.
14, usa president
14, 1970s
14, presidential election
14, watergate scandal
14, biography
14, government
14, historical figure
14, richard nixon
14, 1960s
14, j edgar hoover
15,exotic island
15, treasure
15, map
15, ship
15, scalp
15, pirate
16,poker
16, casino
16, drug abuse
16, 1970s
16, overdose
16, mafia
16, las vegas
16, illegal prostitution
16, 1980s
17,bowling
17, based on novel or book
17, servant
17, country life
17, inheritance
17, rural setting
17, military officer
17, period drama
17, rainstorm
17, horse and carriage
17, decorum
17, 19th century
17, devon
18,hotel
18, witch
18, bet
18, hotel room
18, sperm
18, anthology
18, los angeles
18, hoodlum
18, woman director
19,africa
19, indigenous
19, human animal relationship
19, bat
20,sibling relationship
20, subway
20, new york city
20, new york subway
20, train robbery
21,gambling
21, miami
21, based on novel or book
21, gangster
21, job
21, murder
21, travel
21, mafia
21, money
21, debt
21, mobster
21, business
21, hollywood
21, violence
21, drugs
21, producer
21, con
22,police brutality
22, psychology
22, police operation
22, police protection
22, serial killer
22, psychologist
22, cowardliness
23,competition
23, assassination
23, cia
23, bank
23, cat
23, mexican standoff
23, seattle
23, hitman
23, mission of murder
23, hidden camera
23, rivalry
23, rescue
23, shootout
23, police chase
23, sniper rifle
23, detroit
23, silencer
23, double cross
23, caribbean
24,dead animal
24, shot to death
24, teenage boy
24, held at gunpoint
24, teacher student relationship
24, albino
24, fainting
24, christ allegory
24, psionic power
24, healing power
24, flickering light
24, extrasensory perception
24, pale
25,individual
25, prostitute
25, alcohol
25, casino
25, love at first sight
25, lovesickness
25, movie business
25, screenwriter
25, hotel room
25, dying and death
25, rage and hate
25, unsociability
25, alcoholism
25, los angeles
25, las vegas
25, alcohol abuse
26,shakespeare
26, jealousy
26, friends
26, moor
27,1970s
27, female friendship
27, coming of age
27, gynecologist
27, photocopier
27, truth or dare
27, woman director
28,captain
28, napoleonic wars
28, old flame
28, admiral
29,clone
29, dream
29, island
29, eye
29, dystopia
29, aging
29, friendship
29, rescue
29, children
29, girl
29, childhood
30,servant
30, cabaret
30, shanghai
30, diva
30, uncle
30, mistress
30, criminal underworld
30, umbrella
30, 1930s
31,rap music
31, karate
31, high school
31, naval officer
31, teacher
31, amusement park
32,schizophrenia
32, philadelphia
32, cassandra syndrom
32, stockholm syndrome
32, time travel
32, post-apocalyptic
32, dystopia
32, lethal virus
32, monkey
32, cult film
32, subterranean
34,alarm clock
34, cat
34, duck
34, sheep
34, pig
34, farm
34, affection
34, piglet
34, heroism
34, anthropomorphism
34, dog
34, separation
34, farmer
34, grandson
34, sheepdog
34, talking pig
36,prison
36, rape
36, nun
36, socially deprived family
36, penalty
36, death penalty
36, despair
36, death row
36, therapist
36, self-discovery
36, prison cell
36, court case
36, death sentence
36, doomed man
36, sentence
36, lethal injection
36, forgiveness
36, charity
36, mercy petition
36, rage and hate
36, unsociability
36, right and justice
36, court
36, cowardliness
38,matchmaking
38, orphan
38, identical twin
38, relationship sabotage
39,puberty
39, high school
39, make a match
39, spoiled child
39, gay interest
39, conflict
39, woman director
40,based on novel or book
40, south africa
40, apartheid
40, priest
40, 1940s
40, race relations
41,england
41, shakespeare
41, kidnapping
41, murder
41, king
42,post traumatic stress  disorder
42, war veteran
42, vietnam
42, heist
42, money
42, loss of virginity
42, redemption
42, revolutinoary
42, mercy killing
42, armored truck
42, medic
42, 1960s
43,jealousy
43, medicine
43, fountain
43, court
43, wealth
43, spaniel
43, gloves
43, 17th century
43, british monarchy
44,saving the world
44, martial arts
44, monster
44, island
44, magic
44, alternate dimension
44, ninja
44, gore
44, sorcerer
44, tournament
44, violence
44, based on video game
